Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,1,33.8787,0.03496,31.7,32.4,33.1,33.9,34.7,35.4,36.1
0.229979466,1,34.5529,0.03374,32.4,33.1,33.8,34.6,35.3,36,36.7
0.459958932,1,35.2272,0.03251,33.1,33.8,34.5,35.2,36,36.7,37.4
0.689938398,1,35.843,0.03231,33.7,34.4,35.1,35.8,36.6,37.3,38
0.919917864,1,36.3761,0.03215,34.2,34.9,35.6,36.4,37.2,37.9,38.6
1,1,36.5463,0.0321,34.3,35,35.8,36.5,37.3,38,38.8
1.149897331,1,36.8472,0.03202,34.6,35.3,36.1,36.8,37.6,38.4,39.1
1.379876797,1,37.2711,0.03191,35,35.7,36.5,37.3,38.1,38.8,39.5
1.609856263,1,37.6584,0.03182,35.4,36.1,36.9,37.7,38.5,39.2,39.9
1.839835729,1,38.0167,0.03173,35.7,36.5,37.2,38,38.8,39.6,40.3
2,1,38.2521,0.03168,36,36.7,37.4,38.3,39.1,39.8,40.5
2.069815195,1,38.3516,0.03166,36.1,36.8,37.5,38.4,39.2,39.9,40.6
2.299794661,1,38.6673,0.03158,36.4,37.1,37.8,38.7,39.5,40.2,41
2.529774127,1,38.9661,0.03152,36.7,37.4,38.1,39,39.8,40.5,41.3
2.759753593,1,39.2501,0.03146,36.9,37.7,38.4,39.3,40.1,40.8,41.6
2.98973306,1,39.521,0.0314,37.2,37.9,38.7,39.5,40.4,41.1,41.9
3,1,39.5328,0.0314,37.2,37.9,38.7,39.5,40.4,41.1,41.9
4,1,40.5817,0.03119,38.2,39,39.7,40.6,41.4,42.2,43
5,1,41.459,0.03102,39,39.8,40.6,41.5,42.3,43.1,43.9
6,1,42.1995,0.03087,39.7,40.5,41.3,42.2,43.1,43.9,44.6
7,1,42.829,0.03075,40.4,41.1,41.9,42.8,43.7,44.5,45.3
8,1,43.3671,0.03063,40.9,41.7,42.5,43.4,44.3,45.1,45.9
9,1,43.83,0.03053,41.3,42.1,42.9,43.8,44.7,45.5,46.3
10,1,44.2319,0.03044,41.7,42.5,43.3,44.2,45.1,46,46.8
11,1,44.5844,0.03035,42,42.9,43.7,44.6,45.5,46.3,47.1
12,1,44.8965,0.03027,42.3,43.2,44,44.9,45.8,46.6,47.5
13,1,45.1752,0.03019,42.6,43.4,44.3,45.2,46.1,46.9,47.7
14,1,45.4265,0.03012,42.9,43.7,44.5,45.4,46.3,47.2,48
15,1,45.6551,0.03006,43.1,43.9,44.7,45.7,46.6,47.4,48.2
16,1,45.865,0.02999,43.3,44.1,44.9,45.9,46.8,47.6,48.5
17,1,46.0598,0.02993,43.5,44.3,45.1,46.1,47,47.8,48.7
18,1,46.2424,0.02987,43.6,44.5,45.3,46.2,47.2,48,48.8
19,1,46.4152,0.02982,43.8,44.6,45.5,46.4,47.3,48.2,49
20,1,46.5801,0.02977,44,44.8,45.6,46.6,47.5,48.4,49.2
21,1,46.7384,0.02972,44.1,45,45.8,46.7,47.7,48.5,49.4
22,1,46.8913,0.02967,44.3,45.1,46,46.9,47.8,48.7,49.5
23,1,47.0391,0.02962,44.4,45.3,46.1,47,48,48.8,49.7
24,1,47.1822,0.02957,44.6,45.4,46.2,47.2,48.1,49,49.8
