Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,1,34.4618,0.03686,32.1,32.8,33.6,34.5,35.3,36.1,36.9
0.229979466,1,35.1634,0.03472,32.9,33.6,34.3,35.2,36,36.7,37.5
0.459958932,1,35.8649,0.03258,33.7,34.4,35.1,35.9,36.7,37.4,38.1
0.689938398,1,36.5216,0.03197,34.3,35,35.7,36.5,37.3,38,38.7
0.919917864,1,37.0926,0.03148,34.9,35.6,36.3,37.1,37.9,38.6,39.3
1,1,37.2759,0.03133,35.1,35.8,36.5,37.3,38.1,38.8,39.5
1.149897331,1,37.601,0.03107,35.4,36.1,36.8,37.6,38.4,39.1,39.8
1.379876797,1,38.0609,0.03072,35.9,36.6,37.3,38.1,38.8,39.6,40.3
1.609856263,1,38.4824,0.03041,36.3,37,37.7,38.5,39.3,40,40.7
2,1,39.1285,0.02997,36.9,37.6,38.3,39.1,39.9,40.6,41.3
1.839835729,1,38.8724,0.03014,36.7,37.4,38.1,38.9,39.7,40.4,41.1
2.069815195,1,39.2368,0.0299,37,37.7,38.4,39.2,40,40.7,41.4
2.299794661,1,39.5797,0.02969,37.4,38.1,38.8,39.6,40.4,41.1,41.8
2.529774127,1,39.9033,0.0295,37.7,38.4,39.1,39.9,40.7,41.4,42.1
2.759753593,1,40.2096,0.02933,38,38.7,39.4,40.2,41,41.7,42.4
2.98973306,1,40.5008,0.02918,38.3,39,39.7,40.5,41.3,42,42.7
3,1,40.5135,0.02918,38.3,39,39.7,40.5,41.3,42,42.7
4,1,41.6317,0.02868,39.4,40.1,40.8,41.6,42.4,43.2,43.9
5,1,42.5576,0.02837,40.3,41,41.7,42.6,43.4,44.1,44.8
6,1,43.3306,0.02817,41,41.8,42.5,43.3,44.2,44.9,45.6
7,1,43.9803,0.02804,41.7,42.4,43.1,44,44.8,45.6,46.3
8,1,44.53,0.02796,42.2,42.9,43.7,44.5,45.4,46.1,46.9
9,1,44.9998,0.02792,42.6,43.4,44.2,45,45.8,46.6,47.4
10,1,45.4051,0.0279,43,43.8,44.6,45.4,46.3,47,47.8
11,1,45.7573,0.02789,43.4,44.1,44.9,45.8,46.6,47.4,48.2
12,1,46.0661,0.02789,43.6,44.4,45.2,46.1,46.9,47.7,48.5
13,1,46.3395,0.02789,43.9,44.7,45.5,46.3,47.2,48,48.8
14,1,46.5844,0.02791,44.1,44.9,45.7,46.6,47.5,48.3,49
15,1,46.806,0.02792,44.3,45.1,45.9,46.8,47.7,48.5,49.3
16,1,47.0088,0.02795,44.5,45.3,46.1,47,47.9,48.7,49.5
17,1,47.1962,0.02797,44.7,45.5,46.3,47.2,48.1,48.9,49.7
18,1,47.3711,0.028,44.9,45.7,46.5,47.4,48.3,49.1,49.9
19,1,47.5357,0.02803,45,45.8,46.6,47.5,48.4,49.2,50
20,1,47.6919,0.02806,45.2,46,46.8,47.7,48.6,49.4,50.2
21,1,47.8408,0.0281,45.3,46.1,46.9,47.8,48.7,49.6,50.4
22,1,47.9833,0.02813,45.4,46.3,47.1,48,48.9,49.7,50.5
23,1,48.1201,0.02817,45.6,46.4,47.2,48.1,49,49.9,50.7
24,1,48.2515,0.02821,45.7,46.5,47.3,48.3,49.2,50,50.8
