Month,L,M,S,C3,C10,C25,C50,C75,C90,C97
25,1,86.5904,0.03786,80.42457072,82.38907343,84.37921179,86.5904,88.80158821,90.79172657,92.75622928
26,1,87.4462,0.03808,81.18324889,83.1786957,85.20018198,87.4462,89.69221802,91.7137043,93.70915111
27,1,88.283,0.0383,81.92358749,83.94976799,86.00238902,88.283,90.56361098,92.61623201,94.64241251
28,1,89.1004,0.03851,82.64691489,84.70306798,86.78605273,89.1004,91.41474727,93.49773202,95.55388511
29,1,89.8991,0.03872,83.35225841,85.43815593,87.55127325,89.8991,92.24692675,94.36004407,96.44594159
30,1,90.6797,0.03893,84.04019628,86.155617,88.29864278,90.6797,93.06075722,95.203783,97.31920372
31,1,91.443,0.03913,84.71321091,86.85739757,89.02956466,91.443,93.85643534,96.02860243,98.17278909
32,1,92.1906,0.03933,85.37111265,87.54387818,89.74499709,92.1906,94.63620291,96.83732182,99.01008735
33,1,92.9239,0.03952,86.01696284,88.21759087,90.44693586,92.9239,95.40086414,97.63020913,99.83083716
34,1,93.6444,0.03971,86.65044492,88.87879784,91.13622952,93.6444,96.15257048,98.41000216,100.6383551
35,1,94.3533,0.03989,87.27445716,89.52985627,91.81468709,94.3533,96.89191291,99.17674373,101.4321428
36,1,95.0515,0.04006,87.88988352,90.17165525,92.48320282,95.0515,97.61979718,99.93134475,102.2131165
37,1,95.7399,0.04024,88.49400424,90.8026283,93.14137861,95.7399,98.33842139,100.6771717,102.9857958
38,1,96.4187,0.04041,89.09060211,91.42541669,93.7906993,96.4187,99.0467007,101.4119833,103.7467979
39,1,97.0885,0.04057,89.68027884,92.0406216,94.43176551,97.0885,99.74523449,102.1363784,104.4967212
40,1,97.7493,0.04073,90.26124189,92.6470216,95.0639344,97.7493,100.4346656,102.8515784,105.2373581
41,1,98.4015,0.04089,90.83386862,93.24500127,95.68759786,98.4015,101.1154021,103.5579987,105.9691314
42,1,99.0448,0.04105,91.39788996,93.83428169,96.30246697,99.0448,101.787133,104.2553183,106.69171
43,1,99.6795,0.0412,91.95546546,94.41642993,96.9095086,99.6795,102.4494914,104.9425701,107.4035345
44,1,100.3058,0.04135,92.50493611,94.99037927,97.50825607,100.3058,103.1033439,105.6212207,108.1066639
45,1,100.9238,0.0415,93.04640123,95.55622926,98.09880915,100.9238,103.7487908,106.2913707,108.8011988
46,1,101.5337,0.04164,93.58196179,96.11547521,98.68204956,101.5337,104.3853504,106.9519248,109.4854382
47,1,102.136,0.04179,94.1082774,96.66600031,99.25710006,102.136,105.0148999,107.6059997,110.1637226
48,1,102.7312,0.04193,94.62964539,97.21089201,99.82582244,102.7312,105.6365776,108.251508,110.8327546
49,1,103.3197,0.04206,95.1464733,97.75055545,100.3886194,103.3197,106.2507806,108.8888445,111.4929267
50,1,103.9021,0.0422,95.65544329,98.28292107,100.944686,103.9021,106.859514,109.5212789,112.1487567
51,1,104.4786,0.04233,96.16064143,98.81083678,101.4956157,104.4786,107.4615843,110.1463632,112.7965586
52,1,105.0494,0.04246,96.66031285,99.33317057,102.0409076,105.0494,108.0578924,110.7656294,113.4384872
53,1,105.6148,0.04259,97.1547377,99.8502089,102.5808545,105.6148,108.6487455,111.3793911,114.0748623
54,1,106.1748,0.04272,97.64391994,100.3619545,103.1154579,106.1748,109.2341421,111.9876455,114.7056801
55,1,106.7295,0.04285,98.12795548,100.8685045,103.6448162,106.7295,109.8141838,112.5904955,115.3310445
56,1,107.2788,0.04298,98.60675629,101.3697672,104.1688338,107.2788,110.3887662,113.1878328,115.9508437
57,1,107.8227,0.0431,99.08235424,101.8671269,104.6882393,107.8227,110.9571607,113.7782731,116.5630458
58,1,108.3613,0.04322,99.55283751,102.3593129,105.2024113,108.3613,111.5201887,114.3632871,117.1697625
59,1,108.8948,0.04334,100.0183934,102.8465166,105.7115452,108.8948,112.0780548,114.9430834,117.7712066
60,1,109.4233,0.04347,100.4770591,103.3274323,106.2150012,109.4233,112.6315988,115.5191677,118.3695409
61,1,109.6016,0.04355,100.6242906,103.4845626,106.3821595,109.6016,112.8210405,115.7186374,118.5789094
62,1,110.1258,0.04364,101.086913,103.9668043,106.8842765,110.1258,113.3673235,116.2847957,119.164687
63,1,110.6451,0.04373,101.5448609,104.4442996,107.3815744,110.6451,113.9086256,116.8459004,119.7453391
64,1,111.1596,0.04382,101.9982286,104.9171448,107.8741512,111.1596,114.4450488,117.4020552,120.3209714
65,1,111.6696,0.0439,102.4493941,105.3870556,108.363052,111.6696,114.976148,117.9521444,120.8898059
66,1,112.1753,0.04399,102.8943519,105.8513666,108.8469686,112.1753,115.5036314,118.4992334,121.4562481
67,1,112.6767,0.04407,103.3373143,106.3129479,109.3274118,112.6767,116.0259882,119.0404521,122.0160857
68,1,113.174,0.04415,103.7763663,106.7705583,109.8038229,113.174,116.5441771,119.5774417,122.5716337
69,1,113.6672,0.04423,104.2115097,107.2241992,110.2762026,113.6672,117.0581974,120.1102008,123.1228903
70,1,114.1565,0.04431,104.6429296,107.6740604,110.7447457,114.1565,117.5682543,120.6389396,123.6700704
71,1,114.6421,0.04439,105.0708113,108.1203317,111.2096467,114.6421,118.0745533,121.1638683,124.2133887
72,1,115.1244,0.04447,105.4955228,108.5633916,111.6712944,115.1244,118.5775056,121.6854084,124.7532772
73,1,115.6039,0.04454,105.919698,109.0051939,112.1309538,115.6039,119.0768462,122.2026061,125.288102
