Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,1,49.1477,0.0379,45.6,46.8,47.9,49.1,50.4,51.5,52.7
0.229979466,1,50.3298,0.03742,46.8,47.9,49.1,50.3,51.6,52.7,53.9
0.459958932,1,51.512,0.03694,47.9,49.1,50.2,51.5,52.8,54,55.1
0.689938398,1,52.4695,0.03669,48.8,50,51.2,52.5,53.8,54.9,56.1
0.919917864,1,53.3809,0.03647,49.7,50.9,52.1,53.4,54.7,55.9,57
1,1,53.6872,0.0364,50,51.2,52.4,53.7,55,56.2,57.4
1.149897331,1,54.2454,0.03627,50.5,51.7,52.9,54.2,55.6,56.8,57.9
1.379876797,1,55.0642,0.03609,51.3,52.5,53.7,55.1,56.4,57.6,58.8
1.609856263,1,55.8406,0.03593,52.1,53.3,54.5,55.8,57.2,58.4,59.6
1.839835729,1,56.5767,0.03578,52.8,54,55.2,56.6,57.9,59.2,60.4
2,1,57.0673,0.03568,53.2,54.5,55.7,57.1,58.4,59.7,60.9
2.069815195,1,57.2761,0.03564,53.4,54.7,55.9,57.3,58.7,59.9,61.1
2.299794661,1,57.9436,0.03552,54.1,55.3,56.6,57.9,59.3,60.6,61.8
2.529774127,1,58.5816,0.0354,54.7,55.9,57.2,58.6,60,61.2,62.5
2.759753593,1,59.1922,0.0353,55.3,56.5,57.8,59.2,60.6,61.9,63.1
2.98973306,1,59.7773,0.0352,55.8,57.1,58.4,59.8,61.2,62.5,63.7
3,1,59.8029,0.0352,55.8,57.1,58.4,59.8,61.2,62.5,63.8
4,1,62.0899,0.03486,58,59.3,60.6,62.1,63.5,64.9,66.2
5,1,64.0301,0.03463,59.9,61.2,62.5,64,65.5,66.9,68.2
6,1,65.7311,0.03448,61.5,62.8,64.2,65.7,67.3,68.6,70
7,1,67.2873,0.03441,62.9,64.3,65.7,67.3,68.8,70.3,71.6
8,1,68.7498,0.0344,64.3,65.7,67.2,68.7,70.3,71.8,73.2
9,1,70.1435,0.03444,65.6,67,68.5,70.1,71.8,73.2,74.7
10,1,71.4818,0.03452,66.8,68.3,69.8,71.5,73.1,74.6,76.1
11,1,72.771,0.03464,68,69.5,71.1,72.8,74.5,76,77.5
12,1,74.015,0.03479,69.2,70.7,72.3,74,75.8,77.3,78.9
13,1,75.2176,0.03496,70.3,71.8,73.4,75.2,77,78.6,80.2
14,1,76.3817,0.03514,71.3,72.9,74.6,76.4,78.2,79.8,81.4
15,1,77.5099,0.03534,72.4,74,75.7,77.5,79.4,81,82.7
16,1,78.6055,0.03555,73.3,75,76.7,78.6,80.5,82.2,83.9
17,1,79.671,0.03576,74.3,76,77.7,79.7,81.6,83.3,85
18,1,80.7079,0.03598,75.2,77,78.7,80.7,82.7,84.4,86.2
19,1,81.7182,0.0362,76.2,77.9,79.7,81.7,83.7,85.5,87.3
20,1,82.7036,0.03643,77,78.8,80.7,82.7,84.7,86.6,88.4
21,1,83.6654,0.03666,77.9,79.7,81.6,83.7,85.7,87.6,89.4
22,1,84.604,0.03688,78.7,80.6,82.5,84.6,86.7,88.6,90.5
23,1,85.5202,0.03711,79.6,81.5,83.4,85.5,87.7,89.6,91.5
24,1,86.4153,0.03734,80.3,82.3,84.2,86.4,88.6,90.6,92.5
24,1,85.7153,0.03764,79.6,81.6,83.5,85.7,87.9,89.9,91.8
