Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,1,49.8842,0.03795,46.3,47.5,48.6,49.9,51.2,52.3,53.4
0.229979466,1,51.1152,0.03723,47.5,48.7,49.8,51.1,52.4,53.6,54.7
0.459958932,1,52.3461,0.03652,48.8,49.9,51.1,52.3,53.6,54.8,55.9
0.689938398,1,53.3905,0.03609,49.8,50.9,52.1,53.4,54.7,55.9,57
0.919917864,1,54.3881,0.0357,50.7,51.9,53.1,54.4,55.7,56.9,58
1,1,54.7244,0.03557,51.1,52.2,53.4,54.7,56,57.2,58.4
1.149897331,1,55.3374,0.03534,51.7,52.8,54,55.3,56.7,57.8,59
1.379876797,1,56.2357,0.03501,52.5,53.7,54.9,56.2,57.6,58.8,59.9
1.609856263,1,57.0851,0.0347,53.4,54.5,55.7,57.1,58.4,59.6,60.8
1.839835729,1,57.8889,0.03442,54.1,55.3,56.5,57.9,59.2,60.4,61.6
2,1,58.4249,0.03424,54.7,55.9,57.1,58.4,59.8,61,62.2
2.069815195,1,58.6536,0.03416,54.9,56.1,57.3,58.7,60,61.2,62.4
2.299794661,1,59.3872,0.03392,55.6,56.8,58,59.4,60.7,62,63.2
2.529774127,1,60.0894,0.03369,56.3,57.5,58.7,60.1,61.5,62.7,63.9
2.759753593,1,60.7605,0.03348,56.9,58.2,59.4,60.8,62.1,63.4,64.6
2.98973306,1,61.4013,0.03329,57.6,58.8,60,61.4,62.8,64,65.2
3,1,61.4292,0.03328,57.6,58.8,60.1,61.4,62.8,64,65.3
4,1,63.886,0.03257,60,61.2,62.5,63.9,65.3,66.6,67.8
5,1,65.9026,0.03204,61.9,63.2,64.5,65.9,67.3,68.6,69.9
6,1,67.6236,0.03165,63.6,64.9,66.2,67.6,69.1,70.4,71.6
7,1,69.1645,0.03139,65.1,66.4,67.7,69.2,70.6,71.9,73.2
8,1,70.5994,0.03124,66.5,67.8,69.1,70.6,72.1,73.4,74.7
9,1,71.9687,0.03117,67.7,69.1,70.5,72,73.5,74.8,76.2
10,1,73.2812,0.03118,69,70.4,71.7,73.3,74.8,76.2,77.6
11,1,74.5388,0.03125,70.2,71.6,73,74.5,76.1,77.5,78.9
12,1,75.7488,0.03137,71.3,72.7,74.1,75.7,77.4,78.8,80.2
13,1,76.9186,0.03154,72.4,73.8,75.3,76.9,78.6,80,81.5
14,1,78.0497,0.03174,73.4,74.9,76.4,78,79.7,81.2,82.7
15,1,79.1458,0.03197,74.4,75.9,77.4,79.1,80.9,82.4,83.9
16,1,80.2113,0.03222,75.4,76.9,78.5,80.2,82,83.5,85.1
17,1,81.2487,0.0325,76.3,77.9,79.5,81.2,83,84.6,86.2
18,1,82.2587,0.03279,77.2,78.8,80.4,82.3,84.1,85.7,87.3
19,1,83.2418,0.0331,78.1,79.7,81.4,83.2,85.1,86.8,88.4
20,1,84.1996,0.03342,78.9,80.6,82.3,84.2,86.1,87.8,89.5
21,1,85.1348,0.03376,79.7,81.5,83.2,85.1,87.1,88.8,90.5
22,1,86.0477,0.0341,80.5,82.3,84.1,86,88,89.8,91.6
23,1,86.941,0.03445,81.3,83.1,84.9,86.9,89,90.8,92.6
24,1,87.8161,0.03479,82.1,83.9,85.8,87.8,89.9,91.7,93.6
24,1,87.1161,0.03507,81.4,83.2,85.1,87.1,89.2,91,92.9
