Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,0.3809,3.2322,0.14171,2.440286028,2.677724576,2.932331163,3.2322,3.550349818,3.852667471,4.166233846
0.23,0.2671,3.3388,0.146,2.510355485,2.755689392,3.021694295,3.3388,3.679637141,4.007600632,4.351863192
0.46,0.2304,3.5693,0.14339,2.701858272,2.958268983,3.236720333,3.5693,3.927577288,4.273133897,4.636730754
0.69,0.2024,3.8352,0.1406,2.922508022,3.192063694,3.48499421,3.8352,4.212920859,4.577714386,4.96209094
0.92,0.1789,4.0987,0.13805,3.141820931,3.424280415,3.731358137,4.0987,4.495226821,4.878539848,5.282838886
1.15,0.1582,4.3476,0.13583,3.349630166,3.644098614,3.964332988,4.3476,4.761593272,5.162099551,5.584890298
1.38,0.1395,4.5793,0.13392,3.543584415,3.849075018,4.181393474,4.5793,5.009366475,5.425712585,5.865560142
1.61,0.1224,4.795,0.13228,3.724436332,4.040088392,4.383561171,4.795,5.239947868,5.670983302,6.126674889
1.84,0.1065,4.9959,0.13087,3.893056077,4.218100808,4.571903216,4.9959,5.45468965,5.899419567,6.369915459
2.07,0.0918,5.1842,0.12966,4.051068826,4.384910321,4.74840253,5.1842,5.656021286,6.113667912,6.598152292
2.3,0.0779,5.3618,0.12861,4.200077011,4.542203023,4.914839959,5.3618,5.845979065,6.315904344,6.813717519
2.53,0.0648,5.5295,0.1277,4.340681795,4.690641332,5.071942031,5.5295,6.025438512,6.507073775,7.01762547
2.76,0.0525,5.6883,0.12691,4.473681834,4.831086414,5.220634887,5.6883,6.195474842,6.688319835,7.211087488
2.99,0.0407,5.8393,0.12622,4.600030233,4.964530207,5.361956868,5.8393,6.357262561,6.860897221,7.395451798
4,-0.005,6.4237,0.12402,5.08794577,5.480078197,5.908320108,6.4237,6.984280583,7.530756394,8.11234054
5,-0.043,6.8985,0.12274,5.482677745,5.897543661,6.351329301,6.8985,7.495018299,8.077932908,8.699851891
6,-0.0756,7.297,0.12204,5.81185619,6.246242969,6.722120397,7.297,7.925102262,8.540297493,9.198221874
7,-0.1039,7.6422,0.12178,6.094125828,6.546103602,7.042017295,7.6422,8.299351579,8.944439585,9.635921363
8,-0.1288,7.9487,0.12181,6.342189161,6.810402604,7.324907062,7.9487,8.633118486,9.306423987,10.02975323
9,-0.1507,8.2254,0.12199,6.564434397,7.047716505,7.579535186,8.2254,8.935412558,9.635310103,10.38876954
10,-0.17,8.48,0.12223,6.767958637,7.265344932,7.813398029,8.48,9.214114727,9.939114733,10.72108765
11,-0.1872,8.7192,0.12247,6.958852052,7.469569776,8.032974687,8.7192,9.476145074,10.22495211,11.03400589
12,-0.2024,8.9481,0.12268,7.141559474,7.665043129,8.243129695,8.9481,9.726833145,10.49834715,11.33322426
13,-0.2158,9.1699,0.12283,7.319064636,7.854825004,8.446994436,9.1699,9.969430887,10.76257816,11.62202084
14,-0.2278,9.387,0.12294,7.493117293,8.040837875,8.646697336,9.387,10.20666263,11.02071404,11.90386135
15,-0.2384,9.6008,0.12299,7.665123482,8.224500667,8.843657764,9.6008,10.43988105,11.27403318,12.17991241
16,-0.2478,9.8124,0.12303,7.83533547,8.406286008,9.038616187,9.8124,10.67062279,11.52454306,12.452731
17,-0.2562,10.0226,0.12306,8.004425324,8.586898177,9.232317103,10.0226,10.8997571,11.77318934,12.72335367
18,-0.2637,10.2315,0.12309,8.172344441,8.766325315,9.424795352,10.2315,11.12746574,12.02024412,12.99215986
19,-0.2703,10.4393,0.12315,8.338798969,8.944403349,9.616043128,10.4393,11.35419877,12.26642491,13.26017696
