Month,L,M,S,P3,P10,P25,P50,P75,P90,P97
0,0.3487,3.3464,0.14602,2.507275484,2.757620581,3.027282015,3.3464,3.686659175,4.011499373,4.349896497
0.23,0.2776,3.4879,0.14483,2.62755859,2.88273701,3.159028445,3.4879,3.840817133,4.179883776,4.535284122
0.46,0.2581,3.7529,0.14142,2.849024401,3.117140134,3.407397254,3.7529,4.123737734,4.480141937,4.853879765
0.69,0.2442,4.0603,0.13807,3.104884223,3.388462828,3.695274366,4.0603,4.451942524,4.828252094,5.222815576
0.92,0.2331,4.3671,0.13497,3.361636388,3.660297551,3.983191944,4.3671,4.778767146,5.174145046,5.588568125
1.15,0.2237,4.659,0.13215,3.607723878,3.920237873,4.257858738,4.659,5.088879464,5.501543024,5.933913842
1.38,0.2155,4.9303,0.1296,3.838239003,4.163123042,4.513857641,4.9303,5.376300875,5.804222373,6.252394378
1.61,0.2081,5.1817,0.12729,4.053406038,4.389306816,4.751693841,5.1817,5.641957206,6.083341446,6.545427421
1.84,0.2014,5.4149,0.1252,4.254223743,4.59999156,4.972794434,5.4149,5.887847394,6.341191912,6.815616891
2.07,0.1952,5.6319,0.1233,4.442122283,4.796772503,5.178937117,5.6319,6.116216163,6.580259567,7.065707444
2.3,0.1894,5.8346,0.12157,4.618449195,4.981158935,5.371808311,5.8346,6.329196037,6.802903565,7.298299154
2.53,0.184,6.0242,0.12001,4.78386877,5.153971381,5.552400308,6.0242,6.528213514,7.010771256,7.515274019
2.76,0.1789,6.2019,0.1186,4.939285916,5.316201289,5.72179914,6.2019,6.714592769,7.205308086,7.718206771
2.99,0.174,6.369,0.11732,5.085738362,5.468963801,5.881204042,6.369,6.889743023,7.388029491,7.908725715
4,0.1553,7.0023,0.11316,5.63958952,6.04698802,6.484777104,7.0023,7.554286241,8.08208678,8.633306757
5,0.1395,7.5105,0.1108,6.078883522,6.507015599,6.966941283,7.5105,8.090161002,8.644384307,9.22320305
6,0.1257,7.934,0.10958,6.438807244,6.885864159,7.366194763,7.934,8.539706891,9.119041111,9.724323174
7,0.1134,8.297,0.10902,6.742484195,7.207056567,7.706412962,8.297,8.927371337,9.530655639,10.16134281
8,0.1021,8.6151,0.10882,7.005389767,7.486157555,8.00320512,8.6151,9.26867837,9.894622128,10.549467
9,0.0917,8.9014,0.10881,7.239953555,7.73583718,8.269460439,8.9014,9.576899909,10.2243299,10.9021624
10,0.082,9.1649,0.10891,7.4543961,7.964564998,8.513900287,9.1649,9.861312665,10.52930244,11.22919335
11,0.073,9.4122,0.10906,7.654824983,8.178614898,8.742958685,9.4122,10.12866753,10.8164112,11.53753383
12,0.0644,9.6479,0.10925,7.845122131,8.382077041,8.960955584,9.6479,10.38387361,11.0908711,11.83272912
13,0.0563,9.8749,0.10949,8.02743496,8.577323555,9.170504948,9.8749,10.63013579,11.35617813,12.11857845
14,0.0487,10.0953,0.10976,8.20373354,8.766370492,9.373665326,10.0953,10.86958833,11.61449011,12.39725509
15,0.0413,10.3108,0.11007,8.375266234,8.950586059,9.57194814,10.3108,11.10415532,11.86796751,12.67118934
16,0.0343,10.5228,0.11041,8.543261436,9.131260492,9.766700044,10.5228,11.33527784,12.11807554,12.94185593
17,0.0275,10.7319,0.11079,8.708052602,9.308794551,9.958405901,10.7319,11.56369742,12.36570905,13.2103286
18,0.0211,10.9385,0.11119,8.870227863,9.483735788,10.1475547,10.9385,11.78969584,12.61101458,13.47658968
19,0.0148,11.143,0.11164,9.029642441,9.656076354,10.33431046,11.143,12.0139636,12.85499758,13.74201212
20,0.0087,11.3462,0.11211,9.187404557,9.826848383,10.51960813,11.3462,12.23713364,13.09810957,14.00683594
21,0.0029,11.5486,0.11261,9.343706164,9.996334624,10.70382935,11.5486,12.45983342,13.3411007,14.27193996
